,,,,,,,language,,
H4102,1281,mâhahh,mem-hey,מה,question,mâhahh,Hebrew,מהה,
H4107,1288,mâhal,mem-lamed,מל,cut down,mâhal,Hebrew,מהל,
H4107,1288,mâhal,mem-lamed,מל,mix,mâhal,Hebrew,מהל,
H4117,1296,mâhar,mem-resh,מר,endow,mahala,Southern Sotho,מהר, 
H3808,1254,lôʼ,lamed-aleph,לא,for free,mahala,Xhosa,לא, 
H3808,1254,lôʼ,lamed-aleph,לא,for free,mahala,Zulu,לא, 
H3808,1254,lôʼ,lamed-aleph,לא,nothing,mahala,Southern Sotho,לא, 
H3808,1254,lôʼ,lamed-aleph,לא,without,mahala,Southern Sotho,לא, 
H4110,1104,mahălâl,hey-lamed,הל,fame,mahălâl,Hebrew,מהלל,
H4110,1104,mahălâl,hey-lamed,הל,praise,mahălâl,Hebrew,מהלל,
H4111,1111,Mahălalʼêl,NAME,מהללאל,Mahalalel,Mahălalʼêl,Hebrew,מהללאל,
H4112,1266,mahălummâh,lamed-mem,למ,blow,mahălummâh,Hebrew,מהלמה,
H4112,1266,mahălummâh,lamed-mem,למ,strike,mahălummâh,Hebrew,מהלמה,
H4112,1266,mahălummâh,lamed-mem,למ,stripe,mahălummâh,Hebrew,מהלמה,
H4113,1296,mahămôrâh,mem-resh,מר,abyss,mahămôrâh,Hebrew,מהמרה,
H4113,1296,mahămôrâh,mem-resh,מר,deep pit,mahămôrâh,Hebrew,מהמרה,
H2425,1171,châyay,hhet-yud,חי,way of life,mahanyelo,Tsonga,חיי, 
H4117,1296,mâhar,mem-resh,מר,endow,mâhar,Hebrew,מהר,
H4116,1297,mâhar,mem-shin,מש,be liquid,mâhar,Hebrew,מהר,
H4117,1296,mâhar,mem-resh,מר,free,mahara,Ndau,מהר, 
H4121,1111,Mahăray,NAME,מהרי,Maharai,Mahăray,Hebrew,מהרי,
H4123,1495,mahăthallâh,tav-lamed,תל,deceit,mahăthallâh,Hebrew,מהתלה,
H4123,1495,mahăthallâh,tav-lamed,תל,delusion,mahăthallâh,Hebrew,מהתלה,
H4118,1297,mahêr,mem-shin,מש,hurrying,mahêr,Hebrew,מהר,
H4122,1111,Mahêr Shâlâl Châsh Baz,NAME,מהר שלל חש בז,Maher-Shalal-Chash-Baz,Mahêr Shâlâl Châsh Baz,Hebrew,מהר שלל חש בז,
H4106,1296,mâhîyr,mem-resh,מר,quick,mâhîyr,Hebrew,מהיר,
H4224,1163,machăbêʼ,hhet-beyt,חב,fortress,mahlabe,Southern Sotho,מחבא, 
H4224,1163,machăbêʼ,hhet-beyt,חב,highlands,mahlabe,Southern Sotho,מחבא, 
H4224,1163,machăbêʼ,hhet-beyt,חב,refuge,mahlabe,Southern Sotho,מחבא, 
H4278,2198,mechqâr,hhet-quph-resh,חקר,deep places,mahlagara,Southern Sotho,מחקר, 
H4278,2198,mechqâr,hhet-quph-resh,חקר,jaws,mahlagara,Southern Sotho,מחקר, 
H4278,2198,mechqâr,hhet-quph-resh,חקר,unexamined places,mahlagara,Southern Sotho,מחקר, 
H2781,2208,cherpâh,hhet-resh-pey,חרפ,piercing words,mahlapa,Southern Sotho,חרפה, 
H4108,1264,mahlêk,lamed-kaph,לכ,journey,mahlêk,Hebrew,מהלך,
H4108,1264,mahlêk,lamed-kaph,לכ,walking,mahlêk,Hebrew,מהלך,
H4263,2171,machmâl,hhet-mem-lamed,חמל,suffering,mahlomola,Southern Sotho,מחמל, 
H5162,2392,nâcham,nun-hhet-mem,נחמ,sad,mahlone,Southern Sotho,נחם, 
H4114,1379,mahpêkâh,pey-kaph,פכ,destruction,mahpêkâh,Hebrew,מהפכה,
H4114,1379,mahpêkâh,pey-kaph,פכ,overthrow,mahpêkâh,Hebrew,מהפכה,
H4115,1379,mahpeketh,pey-kaph,פכ,wrench,mahpeketh,Hebrew,מהפכת,
H1995,1105,hâmôwn,hey-mem,המ,riches,ma-humo,Southern Sotho,המון,
H6315,1376,pûwach,pey-hhet,פח,news,mahungu,Tsonga,פוח, 
H517,1013,ʼêm,aleph-mem,אמ,mother,mai,Bukusu,אם,
H4325,1281,mayim,mem-hey,מה,water,mai,Kikongo,מים, 
H1164,1039,bᵉʻîy,beyt-ayin,בע,graves,maiba,Ndau,בעי,
H254,1008,ʼâch,aleph-hhet,אח,strong,maika,Bukusu,אח,
H4355,1287,mâkak,mem-kaph,מכ,waste,makaka,Southern Sotho,מכך, 
H1513,2062,gechel,gimel-hhet-lamed,גחל,charcoal,makala,Nyamwezi,גחל,
H1513,2062,gechel,gimel-hhet-lamed,גחל,charcoal,makala,Yao,גחל,
H4376,2337,mâkar,mem-kaph-resh,מכר,sell,mâkar,Hebrew,מכר,
H1513,2062,gechel,gimel-hhet-lamed,גחל,charcoal,makara,Diriku,גחל,
H2195,2129,zaʻam,zayin-ayin-mem,זעמ,anger,makasi,Kituba,זעם, 
H2195,2129,zaʻam,zayin-ayin-mem,זעמ,indignation,makasi,Kituba,זעם, 
H2195,2129,zaʻam,zayin-ayin-mem,זעמ,upset,makasi,Kituba,זעם, 
H2195,2129,zaʻam,zayin-ayin-mem,זעמ,wrath,makasi,Kituba,זעם, 
H4276,1179,machătsîyth,hhet-tsade,חצ,half,makati,Kikongo,מחצית, 
H4276,1179,machătsîyth,hhet-tsade,חצ,middle,makati,Kikongo,מחצית, 
H4344,1111,Makbannay,NAME,מכבני,Macbannite,Makbannay,Hebrew,מכבני,
H4346,2250,makbâr,kaph-beyt-resh,כבר,cloth,makbâr,Hebrew,מכבר,
H4343,1111,Makbênâʼ,NAME,מכבנא,Macbena,Makbênâʼ,Hebrew,מכבנא,
H4345,2250,makbêr,kaph-beyt-resh,כבר,appears as net,makbêr,Hebrew,מכבר,
H4345,2250,makbêr,kaph-beyt-resh,כבר,grate,makbêr,Hebrew,מכבר,
H4342,2250,makbîyr,kaph-beyt-resh,כבר,multiply,makbîyr,Hebrew,מכביר,
H4342,2250,makbîyr,kaph-beyt-resh,כבר,plenty,makbîyr,Hebrew,מכביר,
H517,1013,ʼêm,aleph-mem,אמ,mother,make,Swati,אם,
H7013,1428,qayin,quph-nun,קנ,spear,maken,Basa(Cameroon),קין, 
H2534,1174,chêmâh,hhet-mem,חמ,poison,makgoma,Pedi,חמה, 
H2528,1174,chĕmâʼ,hhet-mem,חמ,displeasure,makgoma,Pedi,חמא, 
H2528,1174,chĕmâʼ,hhet-mem,חמ,rage,makgoma,Pedi,חמא, 
H6945,2700,qâdêsh,quph-dalet-shin,קדש,prostitute,makgosha,Southern Sotho,קדש, 
H2333,1167,chawwâh,hhet-waw,חו,town,makgoweng,Southern Sotho,חוה, 
H4721,1426,maqhêl,quph-lamed,קל,flock,makholwa,Southern Sotho,מקהל,makholwa.mp3
H4721,1426,maqhêl,quph-lamed,קל,group of believers,makholwa,Southern Sotho,מקהל, 
H4746,1424,mᵉqâreh,quph-yud,קי,hut,makhoro,Southern Sotho,מקרה, 
H4746,1424,mᵉqâreh,quph-yud,קי,place of meeting,makhoro,Southern Sotho,מקרה, 
H4220,1284,mêach,mem-hhet,מח,fat,makhura,Southern Sotho,מח, 
H1351,1518,gâʼal,ayin-lamed,על,blood,makila,Lingala,גאל,
H4352,1111,Mâkîy,NAME,מכי,Maki,Mâkîy,Hebrew,מכי,
H4353,1111,Mâkîyr,NAME,מכיר,Makir,Mâkîyr,Hebrew,מכיר,
H4354,1111,Mâkîyrîy,NAME,מכירי,Makirite,Mâkîyrîy,Hebrew,מכירי,
H4347,1310,makkâh,nun-kaph,נכ,beaten,makkâh,Hebrew,מכה,
H4347,1310,makkâh,nun-kaph,נכ,blow,makkâh,Hebrew,מכה,
H4347,1310,makkâh,nun-kaph,נכ,plague,makkâh,Hebrew,מכה,
H4347,1310,makkâh,nun-kaph,נכ,slaughter,makkâh,Hebrew,מכה,
H4347,1310,makkâh,nun-kaph,נכ,smote,makkâh,Hebrew,מכה,
H4347,1310,makkâh,nun-kaph,נכ,sore would,makkâh,Hebrew,מכה,
H4347,1310,makkâh,nun-kaph,נכ,stripe,makkâh,Hebrew,מכה,
H4347,1310,makkâh,nun-kaph,נכ,stroke,makkâh,Hebrew,מכה,
H4347,1310,makkâh,nun-kaph,נכ,wound,makkâh,Hebrew,מכה,
H4378,2337,makkâr,mem-kaph-resh,מכר,acquaintance,makkâr,Hebrew,מכר,
H4361,1242,makkôleth,kaph-lamed,כל,food,makkôleth,Hebrew,מכלת,
H4361,1242,makkôleth,kaph-lamed,כל,nourishment,makkôleth,Hebrew,מכלת,
H4364,2266,makmâr,kaph-mem-resh,כמר,net,makmâr,Hebrew,מכמר,
H4367,1111,Maknadbay,NAME,מכנדבי,Maknadbai,Maknadbay,Hebrew,מכנדבי,
H269,1008,ʼâchôwth,aleph-hhet,אח,bride,makoti,Zulu,אחות,
H4349,1244,mâkôwn,kaph-nun,כנ,settled place,mâkôwn,Hebrew,מכון,
H4375,1111,Makpêlâh,NAME,מכפלה,Makpelah,Makpêlâh,Hebrew,מכפלה,
H4384,2292,makshêlâh,kaph-shin-lamed,כשל,ruin,makshêlâh,Hebrew,מכשלה,
H4384,2292,makshêlâh,kaph-shin-lamed,כשל,stumbling-block,makshêlâh,Hebrew,מכשלה,
H4388,2301,maktêsh,kaph-tav-shin,כתש,hollow,maktêsh,Hebrew,מכתש,
H4388,2301,maktêsh,kaph-tav-shin,כתש,mortar,maktêsh,Hebrew,מכתש,
H7301,1442,râwâh,resh-hey,רה,beer,maku,Lega,רוה, 
H4393,1288,mᵉlôʼ,mem-lamed,מל,complete,mal,Basa(Cameroon),מלא, 
H4393,1288,mᵉlôʼ,mem-lamed,מל,finish,mal,Basa(Cameroon),מלא, 
H4390,1288,mâlêʼ,mem-lamed,מל,end,mala,Basa(Cameroon),מלא, 
H4390,1288,mâlêʼ,mem-lamed,מל,end,mala,Bukusu,מלא, 
H4390,1288,mâlêʼ,mem-lamed,מל,end,mala,Nyamwezi,מלא, 
H1249,1043,bar,beyt-resh,בר,flower,malabu,Nyamwezi,בר,
H4414,2338,mâlach,mem-lamed-hhet,מלח,disappear,mâlach,Hebrew,מלח,
H4414,2338,mâlach,mem-lamed-hhet,מלח,rub,mâlach,Hebrew,מלח,
H4414,2338,mâlach,mem-lamed-hhet,מלח,vanish,mâlach,Hebrew,מלח,
H4418,2338,mâlâch,mem-lamed-hhet,מלח,rag,mâlâch,Hebrew,מלח,
H3215,1265,yᵉlâlâh,lamed-lamed,לל,sick,malada,Lingala,יללה, 
H4418,2338,mâlâch,mem-lamed-hhet,מלח,coal,malahla,Southern Sotho,מלח, 
H4397,1264,malʼâk,lamed-kaph,לכ,angel,malaika,Swahili,מלאך, 
H4399,1264,mᵉlâʼkâh,lamed-kaph,לכ,messenger,malaika ,Swahili,מלאכה, 
H4398,1264,malʼak,lamed-kaph,לכ,angel,malʼak,Hebrew,מלאך,
H4427,1264,mâlak,lamed-kaph,לכ,reign,mâlak,Hebrew,מלך,
H4401,1111,Malʼâkîy,NAME,מלאכי,Malaki,Malʼâkîy,Hebrew,מלאכי,
H4400,1264,malʼăkûwth,lamed-kaph,לכ,message,malʼăkûwth,Hebrew,מלאכות,
H4454,2342,mâlaq,mem-lamed-quph,מלק,crack joint,mâlaq,Hebrew,מלק,
H4454,2342,mâlaq,mem-lamed-quph,מלק,to wring the neck,mâlaq,Hebrew,מלק,
H4454,2342,mâlaq,mem-lamed-quph,מלק,wring,mâlaq,Hebrew,מלק,
H4422,2339,mâlaṭ,mem-lamed-tet,מלט,alone,mâlaṭ,Hebrew,מלט,
H4422,2339,mâlaṭ,mem-lamed-tet,מלט,be smooth,mâlaṭ,Hebrew,מלט,
H4422,2339,mâlaṭ,mem-lamed-tet,מלט,deliver,mâlaṭ,Hebrew,מלט,
H4422,2339,mâlaṭ,mem-lamed-tet,מלט,escape,mâlaṭ,Hebrew,מלט,
H4422,2339,mâlaṭ,mem-lamed-tet,מלט,get,mâlaṭ,Hebrew,מלט,
H4422,2339,mâlaṭ,mem-lamed-tet,מלט,lay,mâlaṭ,Hebrew,מלט,
H4422,2339,mâlaṭ,mem-lamed-tet,מלט,preserve,mâlaṭ,Hebrew,מלט,
H4422,2339,mâlaṭ,mem-lamed-tet,מלט,save,mâlaṭ,Hebrew,מלט,
H4452,2341,mâlats,mem-lamed-tsade,מלצ,be smooth,mâlats,Hebrew,מלץ,
H4452,2341,mâlats,mem-lamed-tsade,מלצ,sweet,mâlats,Hebrew,מלץ,
H4404,2303,malbên,lamed-beyt-nun,לבנ,brickkiln,malbên,Hebrew,מלבן,
H4403,2304,malbûwsh,lamed-beyt-shin,לבש,apparel,malbûwsh,Hebrew,מלבוש,
H4403,2304,malbûwsh,lamed-beyt-shin,לבש,clothed,malbûwsh,Hebrew,מלבוש,
H4403,2304,malbûwsh,lamed-beyt-shin,לבש,clothing,malbûwsh,Hebrew,מלבוש,
H4403,2304,malbûwsh,lamed-beyt-shin,לבש,garment,malbûwsh,Hebrew,מלבוש,
H4403,2304,malbûwsh,lamed-beyt-shin,לבש,raiment,malbûwsh,Hebrew,מלבוש,
H4390,1288,mâlêʼ,mem-lamed,מל,accomplish,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,confirm,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,consecrate,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,end,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,expire,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,fenced,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,fill up,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,filled,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,fulfilled,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,full strength,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,fully set,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,furnish,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,gather together,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,gave in full tale,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,ordain,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,overflow,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,replenish,mâlêʼ,Hebrew,מלא,
H4390,1288,mâlêʼ,mem-lamed,מל,satisfy,mâlêʼ,Hebrew,מלא,
H4399,1264,mᵉlâʼkâh,lamed-kaph,לכ,industrious,maleka,Southern Sotho,מלאכה, 
H4399,1264,mᵉlâʼkâh,lamed-kaph,לכ,workmanship,maleka,Southern Sotho,מלאכה, 
H1818,1082,dâm,dalet-mem,דמ,money,mali,Xhosa,דם,
H421,1012,ʼâlâh,aleph-lamed,אל,mourn,malira,Nyanja,אלה,
H421,1012,ʼâlâh,aleph-lamed,אל,lament,maliro,Nyanja,אלה,
H4433,1264,malkâʼ,lamed-kaph,לכ,queen,malkâʼ,Hebrew,מלכא,
H4436,1264,malkâh,lamed-kaph,לכ,queen,malkâh,Hebrew,מלכה,
H4445,1111,Malkâm,NAME,מלכם,Malcam,Malkâm,Hebrew,מלכם,
H4441,1111,Malkîyâh,NAME,מלכיה,Malkijah,Malkîyâh,Hebrew,מלכיה,
H4439,1111,Malkîyʼêl,NAME,מלכיאל,Malkiel,Malkîyʼêl,Hebrew,מלכיאל,
H4440,1111,Malkîyʼêlîy,NAME,מלכיאלי,Malkielite,Malkîyʼêlîy,Hebrew,מלכיאלי,
H4443,1111,Malkîyrâm,NAME,מלכירם,Malkiram,Malkîyrâm,Hebrew,מלכירם,
H4444,1111,Malkîyshûwaʻ,NAME,מלכישוע,Malkishua,Malkîyshûwaʻ,Hebrew,מלכישוע,
H4442,1111,Malkîy-Tsedeq,NAME,מלכיצדק,Malki-Tsedek,Malkîy-Tsedeq,Hebrew,מלכיצדק,
H4434,2310,malkôdeth,lamed-kaph-dalet,לכד,snare,malkôdeth,Hebrew,מלכדת,
H4434,2310,malkôdeth,lamed-kaph-dalet,לכד,trap,malkôdeth,Hebrew,מלכדת,
H4437,1264,malkûw,lamed-kaph,לכ,dominion,malkûw,Hebrew,מלכו,
H4438,1264,malkûwth,lamed-kaph,לכ,rule,malkûwth,Hebrew,מלכות,
H4419,2338,mallâch,mem-lamed-hhet,מלח,sailor,mallâch,Hebrew,מלח,
H4413,1111,Mallôwthîy,NAME,מלותי,Mallothi,Mallôwthîy,Hebrew,מלותי,
H4408,2338,mallûwach,mem-lamed-hhet,מלח,mallow,mallûwach,Hebrew,מלוח,
H4408,2338,mallûwach,mem-lamed-hhet,מלח,sea-purslain,mallûwach,Hebrew,מלוח,
H4409,1111,Mallûwk,NAME,מלוך,Malluk,Mallûwk,Hebrew,מלוך,
H4451,2311,malmâd,lamed-mem-dalet,למד,goad,malmâd,Hebrew,מלמד,
H3823,1255,lâbab,lamed-beyt,לב,blood,malofha,Venda,לבב, 
H3823,1255,lâbab,lamed-beyt,לב,blood,malopa,Kalanga,לבב, 
H4411,1267,mâlôwn,lamed-nun,לנ,inn,mâlôwn,Hebrew,מלון,
H4411,1267,mâlôwn,lamed-nun,לנ,lodge,mâlôwn,Hebrew,מלון,
H4411,1267,mâlôwn,lamed-nun,לנ,lodgment,mâlôwn,Hebrew,מלון,
H4455,2319,malqôwach,lamed-quph-hhet,לקח,booty,malqôwach,Hebrew,מלקוח,
H4455,2319,malqôwach,lamed-quph-hhet,לקח,jaws,malqôwach,Hebrew,מלקוח,
H4455,2319,malqôwach,lamed-quph-hhet,לקח,prey,malqôwach,Hebrew,מלקוח,
H4456,2321,malqôwsh,lamed-quph-shin,לקש,spring rain,malqôwsh,Hebrew,מלקוש,
H4459,2328,maltâʻâh,lamed-tav-ayin,לתע,grinder,maltâʻâh,Hebrew,מלתעה,
H4761,1458,marʼâshâh,resh-shin,רש,guard,malusi,Zulu,מראשה, 
H4761,1458,marʼâshâh,resh-shin,רש,pastor,malusi,Zulu,מראשה, 
H1249,1043,bar,beyt-resh,בר,flower,maluwa,Nyanja,בר,
H7301,1442,râwâh,resh-hey,רה,beer,malwa,Bukusu,רוה, 
H2479,1173,chalchâlâh,hhet-lamed,חל,diseases,malwala,Shona,חלחלה, 
H2479,1173,chalchâlâh,hhet-lamed,חל,sickness,malwala,Shona,חלחלה, 
H2479,1173,chalchâlâh,hhet-lamed,חל,diseases,malwede,Pedi,חלחלה, 
H2479,1173,chalchâlâh,hhet-lamed,חל,sickness,malwede,Pedi,חלחלה, 
H517,1013,ʼêm,aleph-mem,אמ,mother,mama,Kituba,אם,
H4469,2344,mamçâk,mem-samehh-kaph,מסכ,mixture,mamçâk,Hebrew,ממסך,
H3983,1288,mêʼmar,mem-lamed,מל,declaration,mamela,Southern Sotho,מאמר, 
H3983,1288,mêʼmar,mem-lamed,מל,Listen,mamela,Southern Sotho,מאמר, 
H4468,2340,mamlâkûwth,mem-lamed-kaph,מלכ,kingdom,mamlâkûwth,Hebrew,ממלכות,
H4460,2332,mammᵉgurâh,mem-gimel-resh,מגר,granary,mammᵉgurâh,Hebrew,ממגרה,
H4463,1298,mâmôwth,mem-tav,מת,death,mâmôwth,Hebrew,ממות,
H4463,1298,mâmôwth,mem-tav,מת,mortal disease,mâmôwth,Hebrew,ממות,
H4471,1111,Mamrêʼ,NAME,ממרא,Mamre,Mamrêʼ,Hebrew,ממרא,
H4472,1296,mamrôr,mem-resh,מר,bitterness,mamrôr,Hebrew,ממרר,
H4477,2364,mamtaq,mem-tav-quph,מתק,sweet,mamtaq,Hebrew,ממתק,
H4464,2333,mamzêr,mem-zayin-resh,מזר,mongrel,mamzêr,Hebrew,ממזר,
H3984,1014,mâʼn,aleph-nun,אנ,bowl,mâʼn,Hebrew,מאן,
H3984,1014,mâʼn,aleph-nun,אנ,utensil,mâʼn,Hebrew,מאן,
H3984,1014,mâʼn,aleph-nun,אנ,vessel,mâʼn,Hebrew,מאן,
H4513,2343,mânaʻ,mem-nun-ayin,מנע,debar,mânaʻ,Hebrew,מנע,
H4513,2343,mânaʻ,mem-nun-ayin,מנע,deny,mânaʻ,Hebrew,מנע,
H4513,2343,mânaʻ,mem-nun-ayin,מנע,hinder,mânaʻ,Hebrew,מנע,
H4513,2343,mânaʻ,mem-nun-ayin,מנע,keep,mânaʻ,Hebrew,מנע,
H4513,2343,mânaʻ,mem-nun-ayin,מנע,refrain,mânaʻ,Hebrew,מנע,
H4513,2343,mânaʻ,mem-nun-ayin,מנע,restrain,mânaʻ,Hebrew,מנע,
H4513,2343,mânaʻ,mem-nun-ayin,מנע,withhold,mânaʻ,Hebrew,מנע,
H4506,1111,Mânachath,NAME,מנחת,Manachath,Mânachath,Hebrew,מנחת,
H4506,1290,Mânachath,mah-nunu,מנ,Manahath,Mânachath,Hebrew,מנחת,
H4490,1290,mânâh,mem-nun,מנ,weighed,mânâh,Hebrew,מנה,
H4487,1290,mânâh,mem-nun,מנ,appoint,mânâh,Hebrew,מנה,
H4487,1290,mânâh,mem-nun,מנ,count,mânâh,Hebrew,מנה,
H4487,1290,mânâh,mem-nun,מנ,prepared,mânâh,Hebrew,מנה,
H4487,1290,mânâh,mem-nun,מנ,weigh out,mânâh,Hebrew,מנה,
H5239,1311,nâlâh,nun-lamed,נל,fingers are the end of the body,manala,Southern Sotho,נלה, 
H4516,2416,manʻam,nun-ayin-mem,נעמ,beauty,manʻam,Hebrew,מנעם,
H4516,2416,manʻam,nun-ayin-mem,נעמ,delicacy,manʻam,Hebrew,מנעם,
H4516,2416,manʻam,nun-ayin-mem,נעמ,pleasant,manʻam,Hebrew,מנעם,
H4516,2416,manʻam,nun-ayin-mem,נעמ,pleasantness,manʻam,Hebrew,מנעם,
H517,1013,ʼêm,aleph-mem,אמ,mother,manana,Tsonga,אם,
H128,1082,ʼĂdâmâh,dalet-mem,דמ,earth,manda,Luba,אדמה,
H1809,1081,dâlal,dalet-lamed,דל,old,maNdaulo,Zulu,דלל,
H4486,1085,mandaʻ,dalet-ayin,דע,sanity,mandha,Venda,מנדע, 
H4479,1290,mân,mem-nun,מנ,who,mane,Pedi,מן, 
H4488,1290,mâneh,mem-nun,מנ,fixed weight,mâneh,Hebrew,מנה,
H5239,1311,nâlâh,nun-lamed,נל,satisfied,manelisi,Xhosa,נלה, 
H4503,1307,minchâh,nun-hhet,נח,gifts,maneo,Southern Sotho,מנחה, 
H4503,1307,minchâh,nun-hhet,נח,presents,maneo,Southern Sotho,מנחה, 
H4479,1290,mân,mem-nun,מנ,who,mang,Southern Sotho,מן, 
H4310,1286,mîy,mem-yud,מי,who,mang,Zulu,מי, 
H4101,1277,mâh,mem-aleph,מא,what,mang,Zulu,מה, 
H4100,1277,mâh,mem-aleph,מא,who,mang,Southern Sotho,מה, 
H3964,1281,mâʼ,mem-hey,מה,who,mang,Southern Sotho,מא, 
H4485,2374,mangîynâh,nun-gimel-nun,נגנ,music,mangîynâh,Hebrew,מנגינה,
H227,1007,ʼâz,aleph-zayin,אז,now,manje,Zulu,אז,
H4495,1111,Mânôwach,NAME,מנוח,Manoach,Mânôwach,Hebrew,מנוח,
H4494,1307,mânôwach,nun-hhet,נח,quiet,mânôwach,Hebrew,מנוח,
H4494,1307,mânôwach,nun-hhet,נח,rest,mânôwach,Hebrew,מנוח,
H4498,1314,mânôwç,nun-samehh,נס,escape,mânôwç,Hebrew,מנוס,
H4498,1314,mânôwç,nun-samehh,נס,flee,mânôwç,Hebrew,מנוס,
H4498,1314,mânôwç,nun-samehh,נס,flight,mânôwç,Hebrew,מנוס,
H4498,1314,mânôwç,nun-samehh,נס,refuge,mânôwç,Hebrew,מנוס,
H4498,1314,mânôwç,nun-samehh,נס,retreat,mânôwç,Hebrew,מנוס,
H4493,1303,mânôwd,nun-dalet,נד,nodding,mânôwd,Hebrew,מנוד,
H4500,1319,mânôwr,nun-resh,נר,yoke,mânôwr,Hebrew,מנור,
H7377,1447,rîy,resh-yud,רי,saliva,mante,Kikongo,רי, 
H4514,2415,manʻûwl,nun-ayin-lamed,נעל,bolt,manʻûwl,Hebrew,מנעול,
H4514,2415,manʻûwl,nun-ayin-lamed,נעל,lock,manʻûwl,Hebrew,מנעול,
H5206,1303,nîydâh,nun-dalet,נד,filth,manyala,Southern Sotho,נידה, 
H5206,1303,nîydâh,nun-dalet,נד,filthiness,manyala,Southern Sotho,נידה, 
H5206,1303,nîydâh,nun-dalet,נד,impurity,manyala,Southern Sotho,נידה, 
H5220,1310,neked,nun-kaph,נכ,horns,manyanga,Ndau,נכד, 
H3975,1227,mᵉʼûwrâh,yud-resh,יר,walls,maora,Pedi,מאורה, 
H4593,2347,mâʻôṭ,mem-ayin-tet,מעט,thinned,mâʻôṭ,Hebrew,מעט,
H3973,1291,mâʼôwç,mem-samehh,מס,refuse,mâʼôwç,Hebrew,מאוס,
H4580,1348,mâʻôwg,ayin-gimel,עג,cake,mâʻôwg,Hebrew,מעוג,
H4580,1348,mâʻôwg,ayin-gimel,עג,cake of bread,mâʻôwg,Hebrew,מעוג,
H4580,1348,mâʻôwg,ayin-gimel,עג,feast,mâʻôwg,Hebrew,מעוג,
H4582,1111,Mâʻôwk,NAME,מעוך,Maok,Mâʻôwk,Hebrew,מעוך,
H4584,1111,Mâʻôwn,NAME,מעון,Maon,Mâʻôwn,Hebrew,מעון,
H4583,1359,mâʻôwn,ayin-nun,ענ,abode,mâʻôwn,Hebrew,מעון,
H4589,1365,mâʻôwr,ayin-resh,ער,nakedness,mâʻôwr,Hebrew,מעור,
H4589,1365,mâʻôwr,ayin-resh,ער,padendum,mâʻôwr,Hebrew,מעור,
H3974,1020,mâʼôwr,aleph-resh,אר,luminous,mâʼôwr,Hebrew,מאור,
H6524,2636,pârach,pey-resh-hhet,פרח,wings ,maphego,Southern Sotho,פרח, 
H3991,1380,maʼphêlᵉyâh,pey-lamed,פל,opaqueness,maʼphêlᵉyâh,Hebrew,מאפליה,
H4668,2649,maphtêach,pey-tav-hhet,פתח,opener,maphtêach,Hebrew,מפתח,
H6601,1390,pâthâh,pey-tav,פת,around,mapota,Southern Sotho,פתה, 
H4646,2419,mappâch,nun-pey-hhet,נפח,breathing out,mappâch,Hebrew,מפח,
H4646,2419,mappâch,nun-pey-hhet,נפח,giving up,mappâch,Hebrew,מפח,
H4651,2421,mappâl,nun-pey-lamed,נפל,falling off,mappâl,Hebrew,מפל,
H4651,2421,mappâl,nun-pey-lamed,נפל,flake,mappâl,Hebrew,מפל,
H4651,2421,mappâl,nun-pey-lamed,נפל,refuse,mappâl,Hebrew,מפל,
H4654,2421,mappâlâh,nun-pey-lamed,נפל,fallen,mappâlâh,Hebrew,מפלה,
H4654,2421,mappâlâh,nun-pey-lamed,נפל,ruin,mappâlâh,Hebrew,מפלה,
H4661,2421,mappêts,nun-pey-lamed,נפל,axe,mappâts,Hebrew,מפץ,
H4660,2421,mappâts,nun-pey-lamed,נפל,slaughter,mappâts,Hebrew,מפץ,
H4660,2421,mappâts,nun-pey-lamed,נפל,smiting to pieces,mappâts,Hebrew,מפץ,
H4658,2421,mappeleth,nun-pey-lamed,נפל,carcass,mappeleth,Hebrew,מפלת,
H4658,2421,mappeleth,nun-pey-lamed,נפל,fall,mappeleth,Hebrew,מפלת,
H4658,2421,mappeleth,nun-pey-lamed,נפל,ruin,mappeleth,Hebrew,מפלת,
H4661,2422,mappêts,nun-pey-tsade,נפצ,smiter,mappêts,Hebrew,מפץ,
